Threads starting...
a[0] = 3676 
a[1] = 3480 
a[2] = 2656 
a[3] = 608 
a[4] = 816 
a[5] = 2084 
a[6] = 568 
a[7] = 1444 
a[8] = 276 
a[9] = 3236 
a[10] = 2660 
a[11] = 3972 
a[12] = 3716 
a[13] = 924 
a[14] = 2200 
a[15] = 2544 
a[16] = 2892 
a[17] = 2008 
a[18] = 932 
a[19] = 976 
a[20] = 3212 
a[21] = 1864 
a[22] = 1476 
a[23] = 1556 
a[24] = 260 
a[25] = 1816 
a[26] = 380 
a[27] = 1532 
a[28] = 728 
a[29] = 1400 
a[30] = 2800 
a[31] = 1804 
a[32] = 2284 
a[33] = 2856 
a[34] = 2408 
a[35] = 3092 
a[36] = 2340 
a[37] = 376 
a[38] = 1936 
a[39] = 2608 
a[40] = 3608 
a[41] = 588 
a[42] = 2572 
a[43] = 3316 
a[44] = 2916 
a[45] = 764 
a[46] = 1852 
a[47] = 1800 
a[48] = 172 
a[49] = 2776 
a[50] = 176 
a[51] = 3380 
a[52] = 2044 
a[53] = 1644 
a[54] = 2336 
a[55] = 3704 
a[56] = 864 
a[57] = 2708 
a[58] = 1228 
a[59] = 2992 
a[60] = 1512 
a[61] = 20 
a[62] = 792 
a[63] = 3788 
a[64] = 276 
a[65] = 600 
a[66] = 280 
a[67] = 2608 
a[68] = 968 
a[69] = 2212 
a[70] = 2620 
a[71] = 568 
a[72] = 2792 
a[73] = 2592 
a[74] = 1284 
a[75] = 1700 
a[76] = 760 
a[77] = 536 
a[78] = 3492 
a[79] = 924 
a[80] = 716 
a[81] = 3660 
a[82] = 296 
a[83] = 2752 
a[84] = 2708 
a[85] = 2628 
a[86] = 2448 
a[87] = 972 
a[88] = 2736 
a[89] = 3672 
a[90] = 3956 
a[91] = 240 
a[92] = 1092 
a[93] = 2148 
a[94] = 1428 
a[95] = 2772 
a[96] = 2740 
a[97] = 1704 
a[98] = 1372 
a[99] = 1112 
a[100] = 3908 
a[101] = 3984 
a[102] = 3080 
a[103] = 2692 
a[104] = 2572 
a[105] = 360 
a[106] = 1796 
a[107] = 3324 
a[108] = 2296 
a[109] = 1280 
a[110] = 1648 
a[111] = 412 
a[112] = 2344 
a[113] = 1940 
a[114] = 3156 
a[115] = 1044 
a[116] = 1968 
a[117] = 3008 
a[118] = 3416 
a[119] = 696 
a[120] = 80 
a[121] = 3364 
a[122] = 2340 
a[123] = 2572 
a[124] = 2916 
a[125] = 3760 
a[126] = 1336 
a[127] = 3056 
a[128] = 2864 
a[129] = 112 
a[130] = 160 
a[131] = 2764 
a[132] = 88 
a[133] = 644 
a[134] = 1452 
a[135] = 60 
a[136] = 2404 
a[137] = 3240 
a[138] = 784 
a[139] = 692 
a[140] = 1920 
a[141] = 2428 
a[142] = 1100 
a[143] = 1664 
a[144] = 1768 
a[145] = 1656 
a[146] = 108 
a[147] = 3728 
a[148] = 656 
a[149] = 3516 
a[150] = 1824 
a[151] = 2136 
a[152] = 284 
a[153] = 1564 
a[154] = 704 
a[155] = 3192 
a[156] = 2728 
a[157] = 2032 
a[158] = 2240 
a[159] = 1584 
a[160] = 2136 
a[161] = 3804 
a[162] = 344 
a[163] = 3628 
a[164] = 440 
a[165] = 3196 
a[166] = 1088 
a[167] = 2836 
a[168] = 3836 
a[169] = 3276 
a[170] = 928 
a[171] = 3156 
a[172] = 1696 
a[173] = 3428 
a[174] = 816 
a[175] = 3456 
a[176] = 1080 
a[177] = 916 
a[178] = 584 
a[179] = 3136 
a[180] = 1836 
a[181] = 2400 
a[182] = 1268 
a[183] = 2112 
a[184] = 1368 
