Threads starting...
a[0] = 3492 
a[1] = 2636 
a[2] = 2472 
a[3] = 2868 
a[4] = 3840 
a[5] = 996 
a[6] = 2124 
a[7] = 3112 
a[8] = 448 
a[9] = 2496 
a[10] = 8 
a[11] = 3216 
a[12] = 1804 
a[13] = 3580 
a[14] = 60 
a[15] = 2608 
a[16] = 240 
a[17] = 2944 
a[18] = 1888 
a[19] = 476 
a[20] = 2852 
a[21] = 3980 
a[22] = 480 
a[23] = 1864 
a[24] = 288 
a[25] = 2564 
a[26] = 1652 
a[27] = 1560 
a[28] = 2372 
a[29] = 1296 
a[30] = 3768 
a[31] = 3264 
a[32] = 1332 
a[33] = 2232 
a[34] = 2128 
a[35] = 1164 
a[36] = 628 
a[37] = 244 
a[38] = 1676 
a[39] = 1068 
a[40] = 140 
a[41] = 3084 
a[42] = 1684 
a[43] = 3348 
a[44] = 2656 
a[45] = 1740 
a[46] = 1948 
a[47] = 296 
a[48] = 2084 
a[49] = 1236 
a[50] = 768 
a[51] = 928 
a[52] = 2620 
a[53] = 2648 
a[54] = 196 
a[55] = 2900 
a[56] = 2612 
a[57] = 1840 
a[58] = 456 
a[59] = 976 
a[0] = 3492 
a[60] = 3128 
a[61] = 216 
a[62] = 1644 
a[1] = 2636 
a[63] = 1864 
a[2] = 2472 
a[64] = 3848 
a[3] = 2868 
a[65] = 1172 
a[4] = 3840 
a[66] = 3020 
a[5] = 996 
a[67] = 472 
a[6] = 2124 
a[68] = 2816 
a[7] = 3112 
a[8] = 448 
a[9] = 2496 
a[10] = 8 
a[11] = 3216 
a[12] = 1804 
a[13] = 3580 
a[14] = 60 
a[15] = 2608 
a[16] = 240 
a[17] = 2944 
a[18] = 1888 
a[19] = 476 
a[20] = 2852 
a[21] = 3980 
a[22] = 480 
a[23] = 1864 
a[24] = 288 
a[25] = 2564 
a[26] = 1652 
a[27] = 1560 
a[28] = 2372 
a[29] = 1296 
a[30] = 3768 
a[31] = 3264 
a[32] = 1332 
a[33] = 2232 
a[34] = 2128 
a[35] = 1164 
a[36] = 628 
a[37] = 244 
a[38] = 1676 
a[39] = 1068 
a[40] = 140 
a[41] = 3084 
a[42] = 1684 
a[43] = 3348 
a[44] = 2656 
a[45] = 1740 
a[46] = 1948 
a[47] = 296 
a[48] = 2084 
a[49] = 1236 
a[50] = 768 
a[51] = 928 
a[52] = 2620 
a[53] = 2648 
a[69] = 2100 
a[70] = 2940 
a[71] = 2952 
a[72] = 1176 
a[73] = 620 
a[74] = 3700 
a[75] = 1236 
a[76] = 3760 
a[77] = 3048 
a[78] = 1524 
a[79] = 1836 
a[80] = 280 
a[81] = 3692 
a[82] = 2756 
a[83] = 2892 
a[84] = 2332 
a[85] = 352 
a[86] = 1784 
a[87] = 2344 
a[88] = 2184 
a[89] = 3640 
a[90] = 724 
a[91] = 2716 
a[92] = 1256 
a[93] = 2360 
a[94] = 572 
a[95] = 1100 
a[96] = 3524 
a[97] = 992 
a[98] = 2972 
a[99] = 2332 
a[100] = 3084 
a[101] = 1904 
a[102] = 2684 
a[103] = 256 
a[104] = 3924 
a[105] = 3784 
a[106] = 1484 
a[107] = 3676 
a[108] = 2828 
a[109] = 408 
a[110] = 2912 
a[111] = 3100 
a[112] = 96 
a[113] = 1664 
a[114] = 3392 
a[115] = 3828 
a[116] = 3416 
a[117] = 2576 
a[118] = 3576 
a[119] = 1596 
a[120] = 2212 
a[121] = 292 
a[54] = 196 
a[55] = 2900 
a[56] = 2612 
a[57] = 1840 
a[58] = 456 
a[59] = 976 
a[60] = 3128 
a[61] = 216 
a[62] = 1644 
a[63] = 1864 
a[64] = 3848 
a[65] = 1172 
a[66] = 3020 
a[67] = 472 
a[68] = 2816 
a[69] = 2100 
a[70] = 2940 
a[71] = 2952 
a[72] = 1176 
a[73] = 620 
a[74] = 3700 
a[75] = 1236 
a[76] = 3760 
a[77] = 3048 
a[78] = 1524 
a[79] = 1836 
a[80] = 280 
a[81] = 3692 
a[82] = 2756 
a[83] = 2892 
a[84] = 2332 
a[85] = 352 
a[86] = 1784 
a[87] = 2344 
a[88] = 2184 
a[89] = 3640 
a[90] = 724 
a[91] = 2716 
a[92] = 1256 
a[93] = 2360 
a[94] = 572 
a[95] = 1100 
a[96] = 3524 
a[97] = 992 
a[98] = 2972 
a[99] = 2332 
a[100] = 3084 
a[101] = 1904 
a[102] = 2684 
a[103] = 256 
a[104] = 3924 
a[105] = 3784 
a[106] = 1484 
a[107] = 3676 
a[108] = 2828 
a[109] = 408 
a[110] = 2912 
a[111] = 3100 
a[112] = 96 
a[122] = 304 
a[123] = 3460 
a[124] = 2644 
a[125] = 868 
a[126] = 1960 
a[127] = 3568 
a[128] = 1852 
a[129] = 924 
a[130] = 1892 
a[131] = 932 
a[132] = 232 
a[133] = 1980 
a[134] = 2588 
a[135] = 148 
a[136] = 1756 
a[137] = 1472 
a[138] = 1228 
a[139] = 576 
a[140] = 1872 
a[141] = 132 
a[142] = 1076 
a[143] = 3368 
a[144] = 3196 
a[145] = 460 
a[146] = 600 
a[147] = 2608 
a[148] = 440 
a[149] = 1576 
a[150] = 196 
a[151] = 2644 
a[152] = 1860 
a[153] = 1900 
a[154] = 3504 
a[155] = 496 
a[156] = 2760 
a[157] = 2868 
a[158] = 1464 
a[159] = 2012 
a[160] = 1192 
a[161] = 756 
a[162] = 344 
a[163] = 1416 
a[164] = 2728 
a[165] = 2924 
a[166] = 2968 
a[167] = 1888 
a[168] = 1796 
a[169] = 188 
a[170] = 2456 
a[171] = 3664 
a[172] = 1720 
a[173] = 936 
a[174] = 432 
a[175] = 912 
a[176] = 2796 
